date,SSTtreatedInverse,CumRainFallh,CetrifugeFlow,TotDThickFlow,SettlerSludgeLevel,SludgeReactDens,SludgeRecircDens,DQOraw,DQOtreated,DBOraw,DBOtreated,SSTraw,SSTBioReact,SSTcleant_raw,Ntraw,Nttreated,Praw,PrawInverse,NH4raw,NH4treated,DBOrawWaterDens,WaterPwr,SludgePwr,diffIBioReactInverse,diffCumRainFallh,diffSludgeRecircDens,diffDQOraw,diffDBOraw,diffDBOtreated,diffSSTcleant_raw,diffNttreated,diffPraw,diffPtreated,diffTotPwr,LastWeekdiffCumRainFallh,LastWeekdiffrecycle,LastWeekdiffTotDThickFlow,LastWeekdiffSludgeRecircDens,LastWeekdiffDQOraw,LastWeekdiffDBOtreated,LastWeekdiffSSTraw,LastWeekdiffSSTBioReact,LastWeekSSTcleant_raw,LastWeekdiffNtraw,LastWeekdiffNttreated,LastWeekPrawInverse,LastWeekdiffNH4raw,LastWeekdiffSludgePwr,LastWeekdiffSludgeElCons,diffTotDThickFlow,season_Invierno,season_Otoño,season_Primavera,season_Verano,Prediccion
2021-03-16,0.25,0.0,-0.035944444,0.68275,133.75,3620,5828,44,4.0,34,3,17.2,3.286666667,17.279097222999997,15.8,7.8,2.0,0.5,15.1,8.59,34,555.2,164.88,9.913895403378897e-05,0.0,1650.0,-20.0,4.0,1.0,0.0324305569999978,6.8,0.3999999999999999,0.2,-92.5,0.0,-4.729166600000013,-55.1505,1650.0,-20.0,1.0,1.1999999999999993,0.2545833339999999,1.252569445999999,0.8000000000000007,6.8,-0.125,3.9,7.169999999999988,1.0,0.0379166669999999,0,0,1,0,67.8839
2021-03-17,0.25,0.0,0.358222222,0.468266667,141.1319444,3620,5828,44,4.0,34,3,17.2,3.361319444,17.274652777,15.8,7.8,2.0,0.5,15.1,8.59,34,565.0,226.04,0.0004194922871299,0.0,0.0,0.0,0.0,0.0,-0.0044444459999972,0.0,0.0,0.0,0.0,0.0,-3.375,-29.748016663,1650.0,-20.0,1.0,1.1999999999999993,0.3935416659999999,1.3389583320000007,0.8000000000000007,6.8,-0.125,3.9,-5.110000000000014,-8.0,-0.2144833329999999,0,0,1,0,61.5077
2021-03-18,0.25,0.0,-0.036020833,57.61483333,140.4791667,3620,5828,44,4.0,34,3,17.2,3.466180556,17.304861112,15.8,7.8,2.0,0.5,15.1,8.59,34,572.0,167.93,-0.0002506857562452,0.0,0.0,0.0,0.0,0.0,0.030208335000001,0.0,0.0,0.0,0.0,-1.8,-3.944444400000009,57.317249997000005,1650.0,-20.0,1.0,1.1999999999999993,0.4227777779999999,1.2292361119999988,0.8000000000000007,6.8,-0.125,3.9,14.480000000000018,3.0,57.146566663,0,0,1,0,90.7687
2021-03-19,0.25,0.0,-0.035986111,96.06308333,134.5902778,3620,5828,44,4.0,34,3,17.2,3.560555556,17.294375,15.8,7.8,2.0,0.5,15.1,8.59,34,536.3,170.01,2.4054961483746706e-05,0.0,0.0,0.0,0.0,0.0,-0.0104861120000023,0.0,0.0,0.0,0.0,-1.2,-5.756944500000003,95.433616663,1650.0,-20.0,1.0,1.1999999999999993,0.580902778,1.3581249999999976,0.8000000000000007,6.8,-0.125,3.9,7.189999999999998,2.0,38.44825,0,0,1,0,95.4107
2021-03-20,0.25,0.0,-0.037180556,81.86685,127.6805556,3620,5828,44,4.0,34,3,17.2,3.589861111,17.229305555,15.8,7.8,2.0,0.5,15.1,8.59,34,547.6,171.11,-0.000152140717303,0.0,0.0,0.0,0.0,0.0,-0.0650694449999989,0.0,0.0,0.0,0.0,-4.8,-6.680555499999997,81.124966667,1650.0,-20.0,1.0,1.1999999999999993,0.5663194439999999,1.1854166659999985,0.8000000000000007,6.8,-0.125,3.9,3.8000000000000114,-1.0,-14.196233329999998,0,0,1,0,96.2754
2021-03-21,0.25,0.0,-0.036743056,89.83356667,85.86527778,3620,5828,44,4.0,34,3,17.2,3.561527778,17.171666666999997,15.8,7.8,2.0,0.5,15.1,8.59,34,550.0,171.14,-0.0002999235108067,0.0,0.0,0.0,0.0,0.0,-0.0576388880000031,0.0,0.0,0.0,0.0,0.0,-3.965277799999996,89.30420000299999,1650.0,-20.0,1.0,1.1999999999999993,0.4006249999999998,1.034305555999996,0.8000000000000007,6.8,-0.125,3.9,5.189999999999998,1.0,7.966716669999997,0,0,1,0,114.477
2021-03-22,0.25,0.0,-0.0363125,155.1748167,109.4722222,3620,5828,44,4.0,34,3,17.2,3.635416667,17.273888889000002,15.8,7.8,2.0,0.5,15.1,8.59,34,692.7,150.28,0.0010357046197587,0.0,0.0,0.0,0.0,0.0,0.1022222220000053,0.0,0.0,0.0,0.0,0.0,-22.9652777,154.529983367,1650.0,-20.0,1.0,1.1999999999999993,0.4278472229999996,1.2272222230000018,0.8000000000000007,6.8,-0.125,3.9,-81.71000000000001,-87.0,65.34125003000001,0,0,1,0,169.7109
2021-03-23,0.0961538461538461,0.0,0.404847222,194.2019167,175.2291667,2166,4986,52,11.0,32,4,12.0,3.7025,12.067083333,22.0,12.2,2.2,0.4545454545454545,16.7,12.56,32,764.3,198.72,0.0008143904144327,0.0,-842.0,8.0,-2.0,1.0,-0.0068055559999979,4.4,0.2000000000000001,0.7000000000000001,0.0,0.0,-44.36805559999999,193.5191667,-842.0,8.0,1.0,-5.199999999999999,0.4158333330000001,-5.212013889999996,6.199999999999999,4.4,-0.0454545454545454,1.5999999999999996,33.84,27.0,39.02709999999999,0,0,1,0,171.8208
2021-03-24,0.0961538461538461,0.0,-0.035909722,156.4773833,160.4888889,2166,4986,52,11.0,32,4,12.0,3.628055556,11.925555556,22.0,12.2,2.2,0.4545454545454545,16.7,12.56,32,738.0,122.98,-0.0004300003438301,0.0,0.0,0.0,0.0,0.0,-0.141527777000002,0.0,0.0,0.0,0.0,0.0,-40.0118056,156.00911663300002,-842.0,8.0,1.0,-5.199999999999999,0.2667361120000002,-5.349097221000001,6.199999999999999,4.4,-0.0454545454545454,1.5999999999999996,-103.06,-104.0,-37.724533399999984,0,0,1,0,185.837
2021-03-25,0.0961538461538461,0.0,0.429090278,0.600183333,167.1388889,2166,4986,52,11.0,32,4,12.0,3.569166667,11.941111111,22.0,12.2,2.2,0.4545454545454545,16.7,12.56,32,677.5,195.26,1.648624446671902e-05,0.0,0.0,0.0,0.0,0.0,0.0155555550000023,0.0,0.0,0.0,0.0,0.0,-38.0625,-57.01464999700001,-842.0,8.0,1.0,-5.199999999999999,0.1029861110000003,-5.363750001,6.199999999999999,4.4,-0.0454545454545454,1.5999999999999996,27.329999999999984,28.0,-155.87719996700002,0,0,1,0,110.0996
